Id,gender,age,status,income,visitNo,method,timeSpend,location,membershipCard,itemPurchaseCoffee,itempurchaseCold,itemPurchasePastries,itemPurchaseJuices,itemPurchaseSandwiches,itemPurchaseOthers,spendPurchase,productRate,priceRate,promoRate,ambianceRate,wifiRate,serviceRate,chooseRate,promoMethodApp,promoMethodSoc,promoMethodEmail,promoMethodDeal,promoMethodFriend,promoMethodDisplay,promoMethodBillboard,promoMethodOthers,loyal,0,1,2,3,4,5,6,7
11,1,1,0,0,3,0,0,2,1,1,1,1,1,1,1,1,4,1,4,5,3,3,4,1,1,1,1,1,1,1,1,0,-0.5994196540947806,0.2567724884490824,0.2408720947488381,-0.09600946005517122,-0.07072674202143131,-0.015915012789980365,0.37958629245423536,0.31487497581066015
12,1,1,0,0,3,0,1,2,1,1,1,1,1,1,1,1,3,2,4,4,3,4,4,1,1,1,1,1,1,1,1,1,-0.5994196540947806,0.2567724884490824,0.2408720947488381,-0.09600946005517122,-0.07072674202143131,-0.015915012789980365,0.37958629245423536,0.31487497581066015
13,1,1,0,0,1,2,0,1,0,1,1,1,1,1,1,2,4,3,2,4,4,3,4,1,1,1,1,1,1,1,1,0,-0.7698908791709248,0.03265824667132822,0.14777944904655205,0.1471504990596295,0.09868211569777408,0.32729412769333294,-0.33271649193929537,0.2035998531255518
14,1,1,0,0,3,2,0,1,0,1,1,1,1,1,1,1,4,3,4,4,4,4,3,1,1,1,1,1,1,1,1,0,-0.7698908791709248,0.03265824667132822,0.14777944904655205,0.1471504990596295,0.09868211569777408,0.32729412769333294,-0.33271649193929537,0.2035998531255518
15,1,1,0,0,3,2,0,0,0,1,1,1,1,1,1,1,5,2,5,5,5,5,2,1,1,1,1,1,1,1,1,1,-0.7698908791709248,0.03265824667132822,0.14777944904655205,0.1471504990596295,0.09868211569777408,0.32729412769333294,-0.33271649193929537,0.2035998531255518
16,1,1,2,0,3,2,1,2,0,1,1,1,1,1,1,1,4,1,5,4,3,4,4,1,1,1,1,1,1,1,1,1,-0.45497060227386277,-0.49731006898033064,0.062204534261578716,0.12025498137516771,0.1255128776503937,0.22522074523123256,-0.33318988034409397,-0.009092199616344467
17,0,2,2,2,2,1,0,0,0,1,1,1,1,1,1,2,4,3,3,4,3,3,3,1,1,1,1,1,1,1,1,0,0.7964499763869519,0.0062512986235408186,-1.2886935245591264,0.24059018757609707,0.08907161279412662,-0.8848045001003862,-0.27991295600424027,-0.1801645855576945
18,0,1,2,0,3,0,0,0,0,1,1,1,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,0,0.021281029227163337,-0.004590460497816862,0.12538217471405175,-0.3922619372488648,-0.1527116987650111,-0.3520175811976075,0.23884168821279425,0.09897805518240081
19,0,1,2,1,1,2,0,1,0,1,1,1,1,1,1,2,4,3,4,5,5,5,5,1,1,1,1,1,1,1,1,0,0.1310451008655823,-0.7204992609059659,0.2242484659096871,-0.2930076518545922,-0.21224025963051169,0.023617959322008053,-0.1698364717246892,-0.45717610870600617
20,1,1,1,2,3,2,0,1,0,1,1,1,1,1,1,1,3,4,3,4,3,4,2,1,1,1,1,1,1,1,1,0,0.29528847288925236,-0.37026777442222353,-0.04941359646016692,0.6418099912277878,-0.3610446844670573,0.09178043186477403,-0.4886001414515996,1.0763925787616604
21,0,2,2,3,3,2,0,0,0,1,1,1,1,1,1,2,2,2,5,3,3,4,3,1,1,1,1,1,1,1,1,1,1.1711629941979034,0.02807276300428521,0.4311654376523005,-0.7849366628412658,1.5983353910453502,-0.4411526299228521,-1.4525305972251092,-0.5106212981703863
22,1,1,2,0,3,0,0,0,1,1,1,1,1,1,1,2,5,3,4,3,3,4,5,1,1,1,1,1,1,1,1,0,-0.28449937719771856,-0.27319582720257646,0.15529717996386477,-0.122904977739633,-0.04389598006881169,-0.11798839525208074,0.37911290404943676,0.1021829230687639
23,0,1,2,1,3,0,4,0,1,1,1,1,1,1,1,1,5,2,5,5,2,4,3,1,1,1,1,1,1,1,1,1,0.3015163259417265,-0.4963850191282118,0.3173411116119732,-0.5361676109693929,-0.38164911734971707,-0.31959118116130525,0.5424663126688416,-0.3459009860208978
24,1,1,0,0,2,1,2,1,0,1,1,1,1,1,1,1,5,4,4,5,4,4,3,1,1,1,1,1,1,1,1,0,-0.5763114740182099,0.40396537828000967,-0.2482269816264546,0.5247467801158103,-0.12296878566172974,0.15823943651776515,0.14159479989913473,-0.15083270354371828
